id,begin,end,utterance_id,word_id,pronunciation_id
119,55.54999923706055,55.84000015258789,1,170252,177801
120,55.84000015258789,56.66999816894531,1,84688,88643
121,56.66999816894531,63.5099983215332,1,1,1
122,63.5099983215332,63.630001068115234,1,49733,52079
123,63.630001068115234,69.87000274658203,1,1,1
124,69.87000274658203,70.30000305175781,1,192146,200459
125,70.30000305175781,71.77999877929688,1,157057,164165
126,71.77999877929688,71.80999755859375,1,1,1
127,71.80999755859375,72.29000091552734,1,198568,207334
128,72.29000091552734,72.36000061035156,1,1,1
129,72.36000061035156,73.47000122070312,1,84688,88643
130,73.47000122070312,73.52999877929688,1,1,1
131,73.52999877929688,74.58999633789062,1,78175,81891
132,74.58999633789062,74.80999755859375,1,176369,184146
133,74.80999755859375,74.97000122070312,1,101828,106548
134,74.97000122070312,75.06999969482422,1,1,1
135,75.06999969482422,75.6500015258789,1,124915,130362
136,75.6500015258789,76.18000030517578,1,1,1
137,76.18000030517578,76.25,1,124915,130362
138,76.25,76.38999938964844,1,69637,73085
139,76.38999938964844,76.4800033569336,1,198630,207399
140,76.4800033569336,76.87999725341797,1,62360,65496
141,76.87999725341797,77.25,1,127249,132790
142,77.25,78.41999816894531,1,124684,130091
143,78.41999816894531,78.4800033569336,1,119084,124313
144,78.4800033569336,78.56999969482422,1,76317,79966
145,78.56999969482422,78.94999694824219,1,198579,207347
146,78.94999694824219,79.58999633789062,1,71953,75457
147,79.58999633789062,80.31999969482422,1,170252,177801
148,80.31999969482422,80.44999694824219,1,1,1
149,80.44999694824219,81.18000030517578,1,72019,75524
150,81.18000030517578,81.2699966430664,1,104712,109521
151,81.2699966430664,82.37000274658203,1,95072,99603
152,82.37000274658203,82.80999755859375,1,1,1
153,82.80999755859375,84.18000030517578,1,110943,115915
154,84.18000030517578,84.25,1,1,1
155,84.25,85.0,1,28327,29577
156,85.0,85.02999877929688,1,1,1
157,85.02999877929688,85.30999755859375,1,84699,88656
158,85.30999755859375,85.8499984741211,1,1,1
159,85.8499984741211,86.1500015258789,1,4210,4488
160,86.1500015258789,86.55999755859375,1,1,1
161,86.55999755859375,86.94999694824219,1,4210,4488
162,86.94999694824219,87.55000305175781,1,43816,45698
163,87.55000305175781,87.97000122070312,1,87865,92028
164,87.97000122070312,88.08000183105469,1,1,1
165,88.08000183105469,88.62999725341797,1,124915,130362
166,88.62999725341797,89.18000030517578,1,1,1
167,89.18000030517578,89.38999938964844,1,69637,73086
168,89.38999938964844,89.54000091552734,1,198630,207399
169,89.54000091552734,89.87000274658203,1,62360,65496
170,89.87000274658203,90.44999694824219,1,1,1
171,90.44999694824219,90.51000213623047,1,127249,132790
172,90.51000213623047,90.56999969482422,1,124684,130092
173,90.56999969482422,90.62999725341797,1,119084,124313
174,90.62999725341797,90.73999786376953,1,76317,79966
175,90.73999786376953,91.5199966430664,1,198579,207347
176,91.5199966430664,94.2699966430664,1,1,1
177,94.2699966430664,96.25,1,71953,75456
178,96.25,97.45999908447266,1,1,1
179,97.45999908447266,97.62999725341797,1,170252,177801
180,97.62999725341797,98.45999908447266,1,1,1
181,98.45999908447266,99.12999725341797,1,72019,75526
182,99.12999725341797,99.26000213623047,1,104712,109521
183,99.26000213623047,99.93000030517578,1,1,1
184,99.93000030517578,100.2699966430664,1,95072,99603
185,100.2699966430664,100.33000183105469,1,110943,115915
186,100.33000183105469,100.76000213623047,1,28327,29576
187,100.76000213623047,101.19000244140625,1,84699,88656
188,101.19000244140625,101.41000366210938,1,4210,4487
189,101.41000366210938,101.61000061035156,1,4210,4486
190,101.61000061035156,102.18000030517578,1,43816,45698
191,102.18000030517578,102.7699966430664,1,1,1
192,102.7699966430664,104.66999816894531,1,87865,92025
193,104.66999816894531,209.40655517578125,1,1,1
